@T,table
Created,2018-05-08 10:41
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5
ID,,0,1,2,3,4,5
Type,Date,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,
,2008-06-29 18:00,15.363199999999997,20.100606060606058,5.736808510638298,5.873571428571428,8.10014184397163,8.245815602836876
,2008-06-29 19:00,7.2742,10.570530303030305,10.183351063829788,6.3438392857142905,10.60418439716312,10.294929078014183
,2008-06-29 20:00,0.5920000000000001,7.115454545454544,9.280425531914895,8.264464285714284,14.856595744680845,13.499999999999991
,2008-06-29 21:00,3.0271999999999992,4.5642424242424235,7.117234042553191,11.678392857142862,7.638581560283691,10.94439716312057
,2008-06-29 22:00,3.418,6.190757575757574,18.38755319148936,16.953526785714295,17.656702127659578,16.973900709219862
,2008-06-29 23:00,9.723333333333338,18.56992187499999,16.77875,18.66131818181819,19.691156716417908,23.230477941176478
,2008-06-30 00:00,2.966041666666667,12.017578125,9.51125,7.542227272727273,9.186940298507464,8.14077205882353
,2008-06-30 01:00,2.5148076923076923,5.27125,4.6797894736842105,6.162991803278687,9.208141891891893,7.35608108108108
,2008-06-30 02:00,0.8423076923076922,1.6738888888888883,1.6002631578947368,2.0058606557377057,2.7244932432432436,2.5086148648648647
,2008-06-30 03:00,0.10192307692307695,0.16569444444444442,0.13921052631578937,0.26479508196721285,0.3845945945945945,0.35466216216216223
,2008-06-30 04:00,0.03230769230769231,0.14111111111111108,0.033263157894736856,0.0845901639344262,0.1245945945945945,0.10081081081081078

