@T,table
Created,2018-05-08 12:09
Author,HortonMachine library
@H,timestamp,value_1152,value_1025,value_1284,value_90631,value_90249,value_90250,value_90258,value_90130,value_90133,value_90267,value_90266,value_90138,value_90269,value_1311,value_90273,value_90275,value_90147,value_90533,value_90532,value_90534,value_90155,value_90290,value_1332,value_90294,value_90166,value_90168,value_90298,value_90172,value_90175,value_1343,value_90182,value_90189,value_90192,value_90066,value_90196,value_90072,value_90459,value_90458,value_90202,value_90074,value_90204,value_90337,value_90208,value_90467,value_90211,value_1123,value_90216,value_90219,value_1131,value_1261,value_1262,value_90225,value_1008,value_1010,value_90354,value_90226,value_1270,value_90230,value_90233,value_90232,value_1274,value_1146,value_90236,value_90239
ID,,1152,1025,1284,90631,90249,90250,90258,90130,90133,90267,90266,90138,90269,1311,90273,90275,90147,90533,90532,90534,90155,90290,1332,90294,90166,90168,90298,90172,90175,1343,90182,90189,90192,90066,90196,90072,90459,90458,90202,90074,90204,90337,90208,90467,90211,1123,90216,90219,1131,1261,1262,90225,1008,1010,90354,90226,1270,90230,90233,90232,1274,1146,90236,90239
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008-06-29 18:00,3.3137822339405507,0.450108485736626,1.008159991690554,0.9553443259810057,-0.5800220061142084,-0.09613758395003329,0.7034904579054535,3.0921126772241556,2.1405211658786563,0.9877759465734155,-0.07135245156518524,3.386424515021045,1.1232636449245934,0.5622614879122023,1.6526105560926507,1.3276025693409925,4.849514294038705,1.0004772664055719,1.4238898272498544,1.0964049859995948,3.3103703085032343,1.8019623214146063,1.59964537505556,0.5961617337260594,0.44591867305392346,0.23155350641273104,0.663696499570255,0.32663561403832575,0.6737932136114615,1.1032149572323222,0.44029266768901765,0.8927821249674736,0.48750318943271115,5.68286725226262,0.4100486120528005,3.0981039824759153,1.5134030330126318,0.5869837414012763,-0.20119538141792156,2.7762642410211136,0.11275575964281707,1.071569120355387,0.40668992232319057,1.3346032775556023,-0.1417748679479374,1.4925101348421894,0.5633983806452121,0.44753798701221503,-0.14496165902879515,4.535100409565919,0.6917508824107629,0.17164476854582103,1.3066193885371942,-0.0875499151245634,1.4865032935996756,2.031323914149695,0.6327100251765378,-0.30143019415369654,0.13959003263282505,0.26406765764879936,0.24756792367339742,0.4496392114620347,1.112756170028052,1.5593643090741642
,2008-06-29 19:00,2.52003721854256,3.375196914714664,1.2267163927655598,0.5908885762674403,0.7492046537898033,0.2676543814074494,1.1666210965725405,2.1730729526771397,2.455119628787357,0.32019142348771634,-0.09255929618327552,3.0008499402903257,0.475737824913092,2.26600262740483,0.5004851938180994,0.5277405221165054,3.5046100024745397,0.34759693415519455,0.5209195117223707,0.47328713331609634,2.6940290943384153,1.2671367746937499,0.5010584271131728,0.12389523964793193,2.8108493235756526,3.1748098587868205,0.28928082344931944,0.968901991825818,2.416485128635664,0.477218126250757,1.6953226940539774,0.8280383998075241,0.5073436503718237,4.098252130827957,0.8907009410494863,1.8039431825893775,0.7233623263416304,0.6008459055488568,0.7628994029177081,2.203757507679279,0.735079695483801,0.4543846893016804,2.274479863419827,0.5135430573588183,1.1222623939110719,0.6173599423826924,1.5288518531199677,2.0545625952765625,1.1280389449662398,3.9638293570571435,1.6180970271108701,1.6844516933799596,0.4941663940159939,0.6031036896486605,0.5747706253452142,1.2368295707730637,2.408664545982111,1.0395719426882735,1.0711718304434543,1.0987524847744183,3.0033669003937136,1.8682677044814089,1.181454219211749,0.9775073415550024
,2008-06-29 20:00,0.631367709137925,6.021545995911496,0.5005804958104558,-0.04211838799999943,0.7608988894282421,0.16078440221537485,0.5329215062392558,0.5072140273366953,1.1211440810283586,0.3409558608104034,0.04646851969323454,0.7409778965489574,0.419438726113148,3.354545367520943,0.711659225303244,0.7742474118228944,1.2024761158957638,-0.021708902806877477,0.3794800625891988,-0.03008477992059886,0.6850848298213782,0.35935803965114865,0.6256114511221413,0.8269257227567097,6.525842772003489,5.70959541741606,0.9517347066511541,3.680689320387061,5.347538605472114,-0.02355424767424129,4.29374461058098,2.7740554803532795,2.282126427820319,1.0973872012290282,3.7170143858905593,1.14494514250101,0.6576964362359402,0.29602490079140564,2.2125144057489328,0.9536296532469976,3.0835582231879632,0.8786622972516558,1.4031469078049221,1.178475554335547,3.4451986617316077,0.5336450838066393,0.9119620429821444,1.2660837345164406,3.442144185782555,0.5700447561015926,0.6584927145039184,2.910236592561705,0.9012282617626727,0.4179565685206684,1.315419153238141,-0.1484011414520766,1.6133212521837184,2.5278787307835624,1.4835420060827278,1.0946156459319625,3.2602467065705474,1.263821369898661,0.47443626598418714,-0.190490328584152
,2008-06-29 21:00,0.4256323873646529,1.6687678660309406,1.593901045310304,1.4124200734043415,2.2795814937195047,2.5016700977247126,2.2302822819004824,0.23185514433080198,0.24270461432422014,1.5687852004487426,1.848133423980828,0.32293101986502737,0.8933790246102129,0.25993463215486967,0.9670227368126078,1.2045821640069607,0.25927697951249873,1.6237695040715057,1.0192126947524258,1.3564266664150446,0.3741921212486596,1.3908179875639313,0.8578243569683002,1.134585150572756,1.7944188144342066,2.16209479545103,1.0306849528480022,2.0953362805735356,1.7048665491038146,1.3399638480062526,2.9721364715679512,2.9318221633504282,1.2943088712120794,-0.007045023889500485,2.7604922098577513,0.4661213170209484,0.6275637180635165,0.7215050117654506,3.3024100701118653,0.3100108863812106,3.5451982340071284,0.7290732130490077,1.5783725451778374,0.8060587250346469,3.55357069475108,0.6537643021280657,1.7911872054439297,1.6258424069282136,3.5613836914885466,0.7331436291118182,1.2800649475391004,2.950218290510054,0.6701348897373508,3.0905135667354124,0.8199626326027407,1.4347694517838983,1.1028721036464681,3.060893335047004,3.1656729756380733,2.98577315793363,1.188324878013233,1.6391637389200229,2.541527304423419,2.1782696197617684
,2008-06-29 22:00,0.7982204935007899,3.3319508960579016,2.613541208887046,2.2768880580046,5.5146758966077085,2.7693466612171127,3.26000686117453,0.905837051219538,0.6295305600429183,2.2557310445907293,2.5004609224189203,0.7949770040034331,2.2070457868533264,1.7852992739477445,2.066506328076323,2.1868378581981025,0.4781011084331941,2.4889908784023778,2.2353205058458427,2.4040500164171785,0.8134150667856223,1.9549942912642218,2.004268506804385,0.7470175200605044,2.691120897752978,4.068104487998753,1.629142083503043,3.1979075225449463,3.4407349690247733,2.4067092526322,3.7317193858379416,3.336135968469035,3.2487801500416427,0.4926283665767438,3.8098478690201074,0.512454302829344,1.4472119850079903,2.276854706864913,5.034545130483825,0.5841936711535043,5.134121033064719,2.376596838838649,3.418491060140954,3.400808859457329,5.552889039926082,2.1673192169950513,2.6681378739545565,3.3551104621169805,5.556854853198091,1.3457454833159124,2.067292849166112,4.1496502809599765,2.025753780608763,3.442538336874674,0.800744571518258,2.593313823270519,2.611666135102736,5.871550226515345,5.092485083659264,5.358729577216023,2.953968300129922,3.166744842131453,4.497370203170791,3.6852113598424068
,2008-06-29 23:00,2.4706521934748835,3.6258432251179222,4.738482566840857,4.932741417611305,3.579515441219748,5.1151332263844935,3.2063420185155826,1.875963257821524,2.237543456820781,8.36259179475753,5.66227681885727,2.647858871308343,8.217760599174284,2.790962227436908,7.687643913767272,7.766078897717393,2.4771924261613907,6.712377676132599,7.427313111245123,5.8654536518233,2.551594159877063,2.3771785300232926,8.132913570555655,7.345010823757349,2.962280219816876,2.487084508812237,7.068249781354782,2.927987554930437,4.5929294589037255,5.8711231754355,3.460194653637334,4.309200544746904,2.9178564240893365,2.188228258867096,3.8143458451405983,3.4384455447917586,8.584581200562162,6.004016192675045,2.0439696038556443,3.8786905485597383,2.156849409129464,7.836123156219775,2.2748242026240213,7.7636080189826435,2.321392301500458,6.912082751799854,3.0492701203269212,2.5314073039894254,2.328363783647358,2.050804377932569,3.061884795989047,2.735434182271284,6.441547222895039,3.5575067977273993,6.396815208289958,1.7202928809805287,2.5261956072892855,2.876748011186906,2.877314741782968,2.797980837420779,2.3545873824424444,2.4208813947113628,2.2766164989343443,2.9324244118679994
,2008-06-30 00:00,6.674656325454665,1.9748447752723952,5.305792217937425,4.9676583928920905,5.521268720305187,5.55182000743196,4.484312828036425,5.501153238537553,5.080127343292626,4.8265078730778175,5.408851998421203,6.2153392496223505,5.12306325898965,1.8991848743077748,5.718665652104257,4.985390173632436,5.495708924479094,5.246441937691278,5.557809962837879,5.233367379042235,6.068842879063339,6.348653096757886,5.572911389916427,5.699591595414389,2.2832903043238946,2.408172268471136,3.3181226901645773,2.42355144795104,2.6073521903609564,5.24216833051083,2.1665290546726363,3.3209448467044598,2.4317344762993476,6.4498689145914785,2.626725566149459,4.766298625126175,4.731979281528379,5.345067097130662,3.438847391094254,5.525640454536334,2.768065116008159,4.656143034991835,4.187809516075355,4.31513145393486,3.3053614480291325,5.813813242487859,4.207428919935661,4.18905573513091,3.3814561653268465,5.6709733770801,4.168458255458175,3.8485396026285743,3.658201506247101,6.122534710671339,4.785774230392657,4.748763913367478,3.4685601893317894,4.217740178984996,5.009636979336257,5.422017172080235,2.322456876182824,4.051144634733177,5.198552415249338,5.945080871318898
